Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,11,413.3,414.3,4557.3,11.05,0.24,0
ANDHRAPET,100,28.6,33.7,3370,509.8,17.82,0
ASHOKA,40,70.94,72.55,2902,64.4,2.27,-0.68
ASHOKLEY,110,70.4,68.45,7529.5,-214.15,-2.77,0
AXISBANK,3,429.93,445.8,1337.4,47.6,3.69,0
BAJFINANCE,1,3283.7,3492.05,3492.05,208.35,6.34,0
BANKBARODA,61,46.7,48.4,2952.4,103.5,3.63,0
BEL,45,92.41,114.6,5157,998.7,24.02,0
BHARATFORG,1,483.9,499.4,499.4,15.5,3.2,0
BHEL,40,38.35,40.9,1636,102,6.65,0
BILENERGY,1665,1.54,0.98,1631.7,-936.29,-36.46,1.03
BIOCON,1,354.2,392.2,392.2,38,10.73,0
CADILAHC,4,340.35,395.3,1581.2,219.8,16.15,0
COX&KINGS,700,2.46,1.49,1043,-679.6,-39.45,0.68
CPSEETF,455,20.15,19.2,8736,-432.74,-4.72,-0.83
DCBBANK,12,82,87,1044,60,6.1,0
DHANBANK,50,12.64,12.75,637.5,5.6,0.89,0
EBBETF0425,2,1002.18,992.9,1985.8,-18.56,-0.93,0
EDELWEISS,56,68.63,83.1,4653.6,810.5,21.09,0
ENGINERSIN,101,77.45,71.7,7241.7,-581.25,-7.43,0
EQUITAS,35,61.04,55.7,1949.5,-186.95,-8.75,0
EXIDEIND,1,167.05,173.5,173.5,6.45,3.86,0
FSL,56,47.67,61.1,3421.6,752.05,28.17,0
GAIL,10,93.29,101.6,1016,83.15,8.91,0
GLENMARK,10,523.22,488.25,4882.5,-349.7,-6.68,0
GOLDBEES,30,42.61,45.5,1365,86.62,6.78,0
GVKPIL,2029,3.13,2.99,6066.71,-278.22,-4.38,0
HCG,5,114.14,129.3,646.5,75.8,13.28,0
HDFCBANK,12,1059.89,1117.05,13404.6,685.95,5.39,0
HDFCLIFE,1,495.95,598.75,598.75,102.8,20.73,0
HINDUNILVR,1,2203.55,2194.4,2194.4,-9.15,-0.42,0
ICICIBANK,15,343.8,380.35,5705.25,548.25,10.63,0
ICICINXT50,4,23.7,28.37,113.48,18.68,19.7,1.1
IDBI,12,39.5,42.2,506.4,32.4,6.84,0
IDEA,307,8.74,9.1,2793.7,109.27,4.07,0
IDFCFIRSTB,300,30.22,32.15,9645,579.75,6.4,0
IEX,12,188.43,191.3,2295.6,34.4,1.52,0
INDUSINDBK,5,483.31,529.15,2645.75,229.2,9.48,0
IOB,81,11.53,11.17,904.77,-29.51,-3.16,0
IOC,10,81,88.4,884,74,9.14,0
IRCON,1,92.3,95.95,95.95,3.65,3.95,0
J&KBANK,300,17.36,18,5400,193.15,3.71,0
JAICORPLTD,12,103.35,97.75,1173,-67.15,-5.41,0
JUNIORBEES,1,239.19,289.7,289.7,50.51,21.12,-0.13
JYOTHYLAB,2,125.4,147.65,295.3,44.5,17.74,0
KSK-BE,900,0.73,0.5,450,-210.8,-31.9,0
L&TFH,60,83.61,67.35,4041,-975.35,-19.44,0
LT,5,916.94,992.5,4962.5,377.8,8.24,0.07
MIDHANI,10,206.93,223.45,2234.5,165.2,7.98,0
NAM-INDIA,1,245.25,280.6,280.6,35.35,14.41,0
NBCC,120,28.34,28.7,3444,43,1.26,0
NETWORK18,300,43.77,40.55,12165,-965,-7.35,0.62
NEWGEN,20,126.92,195.7,3914,1375.6,54.19,0
NHPC,25,20.9,22.75,568.75,46.35,8.87,0
NTPC,24,91.86,105.45,2530.8,326.15,14.79,0
ONGC,225,78.65,81.25,18281.25,585,3.31,0
PCJEWELLER,30,18.43,16.2,486,-67,-12.12,0
PFC,50,83.42,97.95,4897.5,726.6,17.42,0
PIDILITIND,1,1467,1468.65,1468.65,1.65,0.11,0
PNB,211,43.47,35.3,7448.3,-1723.6,-18.79,0
RAJESHEXPO,4,465.95,476,1904,40.2,2.16,0.06
RALLIS,3,254.7,301.8,905.4,141.3,18.49,0
RELIANCEPP-E1,7,1222.86,1202.8,8419.6,-140.4,-1.64,0
RVNL,320,24.01,22.5,7200,-482.5,-6.28,0
SBILIFE,6,865.83,860.85,5165.1,-29.9,-0.58,0
SBIN,30,200.92,201.45,6043.5,15.95,0.26,0
SOUTHBANK,72,7.33,7.55,543.6,15.63,2.96,0
STARCEMENT,8,104.41,91.45,731.6,-103.65,-12.41,0
STRTECH,116,145.8,170.3,19754.8,2842.2,16.81,0
SUZLON,250,4.11,3.95,987.5,-40.53,-3.94,0
TATACHEM,2,263.5,324.65,649.3,122.3,23.21,0
TATAMOTORS,10,122.13,121.2,1212,-9.25,-0.76,0
TRIDENT,211,5.57,6.72,1417.92,242.54,20.64,0
TV18BRDCST,3,33.43,33.85,101.55,1.25,1.25,0
UCOBANK,221,17.58,14,3094,-791.8,-20.38,0
UJAAS,4,5.37,4.68,18.72,-2.74,-12.77,0
UNIPLY,251,7.31,5.65,1418.15,-416.57,-22.7,0
VIKASPROP,456,3.8,3.36,1532.16,-202.78,-11.69,0
YESBANK,300,13.71,14.8,4440,327.3,7.96,0
