Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,11,413.3,414.3,4557.3,11.05,0.24,10
ANDHRAPET,60,26.4,33.7,2022,437.8,27.64,15.41
ASHOKA,21,68.76,72.8,1528.8,84.85,5.88,4.15
ASHOKLEY,110,70.4,68.45,7529.5,-214.15,-2.77,-1.3
AXISBANK,3,429.93,445.8,1337.4,47.6,3.69,1.21
BAJFINANCE,1,3283.7,3490.65,3490.65,206.95,6.3,2.97
BANKBARODA,61,46.7,48.35,2949.35,100.45,3.53,0
BEL,45,92.41,114.5,5152.5,994.2,23.91,2.14
BHARATFORG,1,483.9,499.4,499.4,15.5,3.2,1.96
BHEL,40,38.35,40.9,1636,102,6.65,0.62
BILENERGY,1660,1.54,0.98,1626.8,-936.14,-36.53,-2
BIOCON,1,354.2,392.2,392.2,38,10.73,-0.48
CADILAHC,4,340.35,395.1,1580.4,219,16.09,-1.39
COX&KINGS,700,2.46,1.49,1043,-679.6,-39.45,-0.67
CPSEETF,454,20.15,19.2,8716.8,-432.57,-4.73,-0.67
DCBBANK,12,82,87,1044,60,6.1,3.69
DHANBANK,50,12.64,12.73,636.5,4.6,0.73,0.24
EBBETF0425,2,1002.18,992.9,1985.8,-18.56,-0.93,-0.36
EDELWEISS,56,68.63,83.1,4653.6,810.5,21.09,4.92
ENGINERSIN,101,77.45,71.65,7236.65,-586.3,-7.49,-2.52
EQUITAS,35,61.04,55.6,1946,-190.45,-8.91,-1.59
EXIDEIND,1,167.05,173.2,173.2,6.15,3.68,1.43
FSL,56,47.67,61.1,3421.6,752.05,28.17,2.26
GAIL,10,93.29,101.6,1016,83.15,8.91,-0.15
GLENMARK,10,523.22,488.25,4882.5,-349.7,-6.68,-0.77
GOLDBEES,30,42.61,45.5,1365,86.62,6.78,-0.48
GVKPIL,2029,3.13,2.99,6066.71,-278.22,-4.38,4.91
HCG,5,114.14,129.45,647.25,76.55,13.41,0.5
HDFCBANK,12,1059.89,1116.8,13401.6,682.95,5.37,2.86
HDFCLIFE,1,495.95,598.55,598.55,102.6,20.69,0.08
HINDUNILVR,1,2203.55,2194.4,2194.4,-9.15,-0.42,-0.4
ICICIBANK,15,343.8,380.2,5703,546,10.59,2.44
ICICINXT50,4,23.7,28.05,112.2,17.4,18.35,0.07
IDBI,12,39.5,42.2,506.4,32.4,6.84,-2.54
IDEA,305,8.74,9.09,2772.45,106.28,3.99,6.57
IDFCFIRSTB,300,30.22,32.15,9645,579.75,6.4,4.05
IEX,12,188.43,191.3,2295.6,34.4,1.52,1.38
INDUSINDBK,5,483.31,529.1,2645.5,228.95,9.47,3.03
IOB,81,11.53,11.15,903.15,-31.13,-3.33,-4.7
IOC,10,81,88.4,884,74,9.14,-0.51
IRCON,1,92.3,95.9,95.9,3.6,3.9,0.68
J&KBANK,300,17.36,18,5400,193.15,3.71,-1.37
JAICORPLTD,12,103.35,97.75,1173,-67.15,-5.41,-2.2
JUNIORBEES,1,239.19,289.23,289.23,50.04,20.92,-0.08
JYOTHYLAB,2,125.4,147.65,295.3,44.5,17.74,-2.77
KSK-BE,900,0.73,0.5,450,-210.8,-31.9,0
L&TFH,60,83.61,67.35,4041,-975.35,-19.44,-0.66
LT,5,916.94,991.35,4956.75,372.05,8.12,-0.28
MIDHANI,10,206.93,223.45,2234.5,165.2,7.98,6
NAM-INDIA,1,245.25,280.55,280.55,35.3,14.39,4.25
NBCC,120,28.34,28.7,3444,43,1.26,-2.55
NETWORK18,300,43.77,40.55,12165,-965,-7.35,-0.49
NEWGEN,20,126.92,195.7,3914,1375.6,54.19,-0.53
NHPC,25,20.9,22.7,567.5,45.1,8.63,-2.37
NTPC,24,91.86,105.45,2530.8,326.15,14.79,-0.47
ONGC,225,78.65,81.2,18270,573.75,3.24,0.19
PCJEWELLER,30,18.43,16.18,485.4,-67.6,-12.22,0.43
PFC,50,83.42,97.9,4895,724.1,17.36,-3.12
PIDILITIND,1,1467,1468.4,1468.4,1.4,0.1,0.81
PNB,211,43.47,35.3,7448.3,-1723.6,-18.79,-0.98
RAJESHEXPO,4,465.95,476,1904,40.2,2.16,1.15
RALLIS,3,254.7,301.8,905.4,141.3,18.49,1.98
RELIANCEPP,7,1222.86,1202.6,8418.2,-141.8,-1.66,0.54
RVNL,315,24.03,22.5,7087.5,-482.5,-6.37,-1.1
SBILIFE,6,865.83,860.85,5165.1,-29.9,-0.58,-0.05
SBIN,30,200.92,201.45,6043.5,15.95,0.26,1.54
SOUTHBANK,72,7.33,7.54,542.88,14.91,2.82,1.75
STARCEMENT,8,104.41,91.45,731.6,-103.65,-12.41,0.44
STRTECH,104,144.58,170.3,17711.2,2674.4,17.79,14.87
SUZLON,51,4.66,3.94,200.94,-36.56,-15.39,-0.25
TATACHEM,2,263.5,324.1,648.2,121.2,23,2.77
TATAMOTORS,10,122.13,121.2,1212,-9.25,-0.76,0.21
TRIDENT,211,5.57,6.72,1417.92,242.54,20.64,-0.74
TV18BRDCST,3,33.43,33.85,101.55,1.25,1.25,-3.42
UCOBANK,221,17.58,14,3094,-791.8,-20.38,-1.06
UJAAS,4,5.37,4.68,18.72,-2.74,-12.77,-1.47
UNIPLY,251,7.31,5.66,1420.66,-414.06,-22.57,0
VIKASPROP,449,3.81,3.36,1508.64,-202.36,-11.83,-4.27
YESBANK,270,13.55,14.8,3996,336.9,9.21,-4.95
