Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,11,413.3,462.3,5085.3,539.05,11.86,6.83
ANDHRAPET,100,28.6,27.15,2715,-145.2,-5.08,-0.73
ASHOKA,40,70.94,73.45,2938,100.4,3.54,0
ASHOKLEY,113,70.45,70.5,7966.5,5.25,0.07,0
AXISBANK,4,445.7,509.6,2038.4,255.6,14.34,0
BAJFINANCE,3,3461.2,3676.5,11029.5,645.9,6.22,0.12
BANKBARODA,61,46.7,51.65,3150.65,301.75,10.59,0
BEL,45,92.41,112.05,5042.25,883.95,21.26,0
BHARATFORG,1,483.9,502.25,502.25,18.35,3.79,0
BHEL,40,38.35,41.65,1666,132,8.6,0
BILENERGY,1666,1.54,0.95,1582.7,-986.24,-38.39,0
BIOCON,1,354.2,391.55,391.55,37.35,10.54,0
CADILAHC,4,340.35,388.85,1555.4,194,14.25,0
COX&KINGS,700,2.46,1.59,1113,-609.6,-35.39,-0.63
CPSEETF,460,20.14,19.07,8772.2,-492.94,-5.32,0
DCBBANK,12,82,94.55,1134.6,150.6,15.3,0
DHANBANK,50,12.64,15.05,752.5,120.6,19.09,0
EBBETF0425,2,1002.18,997,1994,-10.36,-0.52,0
EDELWEISS,56,68.63,84.3,4720.8,877.7,22.84,0
ENGINERSIN,101,77.45,70.75,7145.75,-677.2,-8.66,0
EQUITAS,35,61.04,57.9,2026.5,-109.95,-5.15,0
EXIDEIND,1,167.05,172.35,172.35,5.3,3.17,0
GAIL,10,93.29,99.1,991,58.15,6.23,0
GLENMARK,10,523.22,493.95,4939.5,-292.7,-5.59,0
GOLDBEES,33,42.85,45.1,1488.3,74.26,5.25,0
GVKPIL,2029,3.13,3.27,6634.83,289.9,4.57,0
HCG,5,114.14,128.65,643.25,72.55,12.71,0
HDFCBANK,12,1059.89,1115,13380,661.35,5.2,0
HDFCLIFE,1,495.95,589.45,589.45,93.5,18.85,-1.15
HINDUNILVR,1,2203.55,2152.15,2152.15,-51.4,-2.33,0
ICICIBANK,16,347.28,409.75,6556,999.5,17.99,0
ICICINXT50,4,23.7,28.23,112.92,18.12,19.11,0
IDBI,12,39.5,41.55,498.6,24.6,5.19,0
IDEA,307,8.74,10.1,3100.7,416.27,15.51,13.74
IDFCFIRSTB,300,30.22,33.65,10095,1029.75,11.36,0
IEX,12,188.43,192.8,2313.6,52.4,2.32,0
INDUSINDBK,5,483.31,665.65,3328.25,911.7,37.73,0
IOB,81,11.53,11.05,895.05,-39.23,-4.2,0
IOC,15,83.47,87.8,1317,65,5.19,0
IRCON,1,92.3,94.65,94.65,2.35,2.55,0.05
ITC,5,197.3,195.55,977.75,-8.75,-0.89,0
J&KBANK,300,17.36,19.6,5880,673.15,12.93,0
JAICORPLTD,12,103.35,98.3,1179.6,-60.55,-4.88,0
JUNIORBEES,1,239.19,292.86,292.86,53.67,22.44,0
JYOTHYLAB,2,125.4,147.1,294.2,43.4,17.3,0
KSK,900,0.73,0.45,405,-255.8,-38.71,0
L&TFH,100,77.55,71.6,7160,-594.85,-7.67,0
LT,5,916.94,981.85,4909.25,324.55,7.08,0
MIDHANI,20,220.39,221.75,4435,27.2,0.62,0
NAM-INDIA,1,245.25,286.4,286.4,41.15,16.78,0
NBCC,120,28.34,28.25,3390,-11,-0.32,0
NETWORK18,300,43.77,40,12000,-1130,-8.61,0
NEWGEN,28,212.78,212,5936,-21.85,-0.37,0
NHPC,25,20.9,22.65,566.25,43.85,8.39,-0.22
NTPC,24,91.86,101.55,2437.2,232.55,10.55,0
ONGC,225,78.65,80.35,18078.75,382.5,2.16,0
PCJEWELLER,30,18.43,17.05,511.5,-41.5,-7.5,0
PFC,50,83.42,98.2,4910,739.1,17.72,0.72
PIDILITIND,1,1467,1446.4,1446.4,-20.6,-1.4,0.03
PNB,250,42.3,37.05,9262.5,-1312.9,-12.41,0
RAJESHEXPO,4,465.95,465.25,1861,-2.8,-0.15,0.06
RALLIS,3,254.7,314.15,942.45,178.35,23.34,0
RELIANCEPP-E1,7,1222.86,1230,8610,50,0.58,0
RVNL,350,23.84,22,7700,-642.5,-7.7,0
SBILIFE,6,865.83,851.6,5109.6,-85.4,-1.64,0
SBIN,155,207.44,224.85,34851.75,2699.2,8.39,0
SOUTHBANK,72,7.33,7.61,547.92,19.95,3.78,0
STARCEMENT,8,104.41,90,720,-115.25,-13.8,0.06
STRTECH,120,146.54,159.7,19164,1578.8,8.98,0
SUZLON,250,4.11,3.85,962.5,-65.53,-6.37,0
TATACHEM,2,263.5,328,656,129,24.48,0
TATAMOTORS,12,124.5,142.8,1713.6,219.65,14.7,0
TRIDENT,211,5.57,6.71,1415.81,240.43,20.46,0
TV18BRDCST,3,33.43,33.8,101.4,1.1,1.1,0
UCOBANK,221,17.58,13.97,3087.37,-798.43,-20.55,0
UJAAS,4,5.37,4.5,18,-3.46,-16.12,0
UNIPLY,251,7.31,5.6,1405.6,-429.12,-23.39,0
VIKASPROP,456,3.8,3.4,1550.4,-184.54,-10.64,0
YESBANK,300,13.71,15.02,4506,393.3,9.56,0
